PERIODOFREPORT,num_institutions
31/3/2013,43
30/6/2013,2189
30/9/2013,2202
31/12/2013,2450
31/3/2014,2452
30/6/2014,2472
30/9/2014,2467
31/12/2014,2691
31/3/2015,2685
30/6/2015,2686
30/9/2015,2709
31/12/2015,2808
31/3/2016,2839
30/6/2016,2827
30/9/2016,2815
31/12/2016,2965
31/3/2017,2949
30/6/2017,2948
30/9/2017,2956
31/12/2017,3236
31/3/2018,3263
30/6/2018,3286
30/9/2018,3280
31/12/2018,3578
31/3/2019,3561
30/6/2019,3563
30/9/2019,3560
31/12/2019,3907
31/3/2020,3855
30/6/2020,3874
30/9/2020,3870
31/12/2020,4304
31/3/2021,4322
30/6/2021,4355
30/9/2021,4376
31/12/2021,4946
31/3/2022,4978
30/6/2022,4972
30/9/2022,4971
31/12/2022,5168
31/3/2023,5171
30/6/2023,5231
30/9/2023,5256
31/12/2023,5571
31/3/2024,5602
30/6/2024,5637
30/9/2024,5682
31/12/2024,6232
31/3/2025,6226
30/6/2025,39
30/9/2025,6249
